timestamp,speaker,words,tags
,EC," Yeah, the energy wasn't there. You know, and the speakers weren't there and it was like something that was set up that you were gonna run. You know, and it was like, it's like going to a class and listening to a lecture and you heard that lecture two years ago. You know, and so you feel like, what am I doing here, you know, I'm in the wrong place, you know, kind of thing. So it was evident that, you know, uh, it was for women that were at a different place, and we were not there. We were somewhere else already. We had already been there. ",
,MC," And do you feel like, um, so there's a number of conferences at this time that are also national conferences, beginning with the Denver Youth Conference. Which it sound like, at that time, the Denver Youth Conference was-- ",
,EC," Oh, yeah, the energy there was-- ",
,MC, Huge. ,
,EC," Oh, yeah. You had Corky Gonzales, the Raza Unida Party, José Ángel Gutiérrez was there. Men, of course. José Tijerina from the land grant movement, uh, Jesus, everybody. Alurista was doing poetry. You know, really heavy interest poetry.",
,MC, He was from San Diego. ,
,EC," Oh, yeah. He was with our group. And then, uh, so there was some very high powered chicanos that were leaders of the Chicano Movement, you know, we still didn't have any women, you know, uh the women were gonna be coming after that, you know, with Dolores Huerta and some of the other women that came forth after that. ",
,MC," And you also talk a little bit about this other conference from 1977 which was a total surprise when you mentioned that. I didn't realize that you had gone to this-- Houston in 1977. Now, the Houston Conference comes after the big International Women's Year Conference in 1975, right, in Mexico City, where a bunch of chicanas went to that. Chicanas from San Diego, too, I believe. I don't know if you know any of the women who went there? ",
,EC," Yes, I do.",
,MC," Oh, really? Who?",
,EC," Uh, Lilia López went, I believe, and she was involved with Comisión Femenil here in San Diego. ",
,MC," Oh, yeah, we haven’t even talked to her. ",
,EC, Yeah. ,
,MC," Sorry, I lied about only asking you a few questions. ",
,MC," Yeah, and, um, I think Gracia went to that. ",
,Linda," Yeah, she did. ",
,EC," Um, I don’t know if any of our little core group, Felicitas or— I don’t think they went. I think it was more, uh, DF women (laughs). You know what DF means, right? ",
,MC," Oh, yeah, Distrito Federal. ",
,EC, Yeah. ,
,Linda," That part of town, yeah. ",
,EC," Yeah, okay, so for some reason, no. And that was in ’75? Yeah. And I had just had my baby, so. But I remember going to the Houston Conference, the Women’s Conference. ",
,Linda, Did you got to the state meeting in San Jose? The California state meeting?,
,MC," So, there was, in Houston— ",
,Linda, Where they elected the delegates for Houston. Did you got to that meeting?,
,EC, I don’t think so. ,
,Linda, ‘Cause actually there were two I think…,
,MC, There were state meetings in every state where chicanas met— ,
,Linda, Well—,
,MC, Not every state. ,
,Linda," Right. No, there were state meetings and women met to— ",
,EC," I remember going to this conference in Houston and I remember a group of us, it was the same group that went to the Chicanas Conference, and walking into this room, in this gymnasium, I think it was a gymnasium— ",
,Linda, It was the Houston Conference then. It was a huge room. ,
,EC," Yeah, it was a huge room with a platform and I kinda have a feeling that they we’re gonna have Hillary Clinton or somebody like that speak, I don’t know. Gloria Steinem and all these people. And I walk in and I see these women with these hats and I’m going, “Oh, hell, where am I?” You know (laughs)? ",
,MC, Why did you go to that conference?,
,EC," I don’t know, because I was invited or a group of us wanted us to go, or, we were asked or I don’t know. I was there and I remember they wouldn’t let us talk every time we tried to talk, um, they would shut us up and they were really rude to us, and, so, we said, “You know what? We’re outta here. We’re gonna have our own conference.” And then we ended up finding another place and had our own meeting. ",
,MC," And, do you remember meeting other chicanas there? ",
,EC, Mhmm. ,
,MC," And, any names or anything",
,EC," Yeah. Anna Nieto I think was there and Maggie and Corrine Sanchez was there. Yeah, because I also went to Washington, D.C. As part of MEChA, um, they wanted a group to meet with Richardson, who was in charge of Health and Education at that time. He was, uh, what do you call ‘em? Director or—?",
,MC, HEW? Was he one of the HEW mediators? ,
,EC," He was a director. He was— the president had just assigned him to head this department or, you know, the bureau of whatever. And, and they had, somehow, MEChA was asked to send a delegate to meet with him and I was one of the delegates that was selected and they paid for my trip and everything. And, so, I got to meet with him and there was a group. And I’m not sure if it was connected with MEChA and the Chicano Federation or what but somehow I ended up in Washington, D.C. and met with this gentleman and this is where I met— ",
,MC, Elliot Richardson. ,
,EC," Elliot Richardson, yes. ",
,MC, We found him on Wikipedia (laughs).,
,EC," Yes, and he was head of what?",
,MC, HEW. ,
,END OF TAPE 3,,
,EC," HEW, yeah. Health Education and Welfare. Yeah. And since I was involved with health and chicanos and all that, they wanted me to go and talk to him about it. And, so, I went as a representative and met with him and it was a few others of us that went. I think there were four other people. And at that time I met Maggie, ‘cause they were already there with, um, Sy Abrego. Uh, oh God, and Monte Perez. ",
,MC, Monte Perez?,
,EC," Uh, they were in Washington, D.C. They were heading up another agency that was a chicano agency. And Corrine and Maggie— ",
,MC, Maggie? Cuál Maggie? ,
,EC, Maggie Carrillo. [Tape 3a 0,"54] Okay? And it was Monte Perez and Sy Abrego and I can’t remember. And it was, oh God, something to do with Hispanics or something. And, so, I met them and we really hit it off really good. So, I left after that meeting and they invited me to come back and spend a month with them. And they ran an agency and it was a chicano agency. Lookup Monte Perez. See what you can find. And it’s, um, gosh. Gus would remember what the name of that agency is. And, so, I mean, I just fell in love with the girls, you know, and we just, uh, they were just so—! "
,MC, So it was Maggie— ,
,EC, It was Maggie and Corrine Sanchez. ,
,MC," So, they were there at the Washington meeting. ",
,EC," They were in Washington, D.C. at the time and that’s when I met them and they had— they were working for an agency with Monte Perez and Sy Abrego, I think it was. ",
,MC," I know this, because we need to interview Corinne. ",
,EC, Yeah. ,
,MC, She said she would. It’s just that we have to get to L.A. ,
,EC," Uh huh, and, so, and so that’s how I met them and we clicked, I mean, they were so progressive and it was just so interesting to sit and talk with them, and, uh, so when they came back to L.A. it was like, “Wow,” you know? “This is cool.” But I think they were in L.A. first and then they went over there, and they were there for ten years or so and then came back. ",
,MC, That’s right. Corrine was involved in the organizing with Anna Nieto early on. ,
,EC, Yeah. ,
,MC," With Hijas, yeah. And if you went during Elliot Richardson’s tenure, that would have been between ’70 and ’73. So that’s around the time that it would have happened. ",
,EC," Yeah, so I did that, too. ",
,MC, I wonder what they were doing. It wasn’t NCLR? It wasn’t National Council for La Raza?,
,EC, Yes! ,
,MC," That’s what I thought, because she was an NCLR lawyer. ",
,EC," Yeah, National Council for La Raza, yeah, yes. And they were really involved with a lot of stuff there. ",
,MC," The Office of Hispanic Affairs in the White House, and— ",
,LINDA, That was Rosemary. ,
,MC," That was Rosemary Roybal who we also interviewed, um, yeah, so that— ",
,EC," So that put me in contact with all the, that little group of women that were there in Washington, D.C. at that time, which— ",
,MC," Well, and so was Cecilia Burciaga who recently passed away, unfortunately. I think she was there at that time. And Lupe Anguiano.",
,LINDA, Right. ,
,EC," So, it was just a matter of coincidence that I got to go different places, and, I mean, I’ve been really lucky that I’ve been able to— not only in the United States, but you know even in my work I was selected by Eastlake, um, we had a Japanese school so they sent me to Japan for fifteen days, expense paid trip and they gave me a $500 stipend. And I learned a little bit of Japanese, visited schools to compare, you know, their system with our system, and, I mean, I was really lucky then. I got to go, I was selected by San Ysidro to go to China and I was able to go to China for, what was it? Another fifteen days or so. And then took a group of students to go to Europe and we started in Amsterdam, Holland, and went all the way through Austria and Germany, um, the Black Forest and went to Venice and Paris and all those places and then took that underwater train and ended in Scotland and came back home. And that was like, about a two and a half week trip. ",
,MC," That’s a big— you know, for a girl from Calexico. ",
,EC," I know it! You know, to do all this stuff, I mean, I was— you know, to travel all of Europe, you know, it was kind of neat to go to Japan and China which are so different from our culture, you know, very different, and learn a little bit about their culture and their language and speak a few words, you know? Um, I’ve been lucky. I’ve been lucky. I’ve just been in the right places at the right time and have had, you know, the ability to have experiences, you know, that that have made me a better person. ",
,MC," Well, you know, this gives me the opportunity to finish up, to do what I’m supposed to do every time, which is to ask you a kind of summary question. And, um, that is, well, there’s two. One is, how would describe your political profile today? Um, are you still active in community and social movements? And what kinds of political activities are most meaningful to you and why?",
,EC," I'll start with the last one. To me it’s important that people are treated with respect and, um, especially women, you know? Um, and, you know, I’m very open about, you know, um, when I see injustice I speak up. Um, so women and I have a son who’s gay, and, so, I let my family know, I let— everybody knows. I’m very proud of him. I love him. And those kinds of issues are important to me, you know, and I try to stay up to date as much as I can, uh, reading, by reading or watching programs. I’m a news addict. I’m always watching CNN (laughs). When something’s happening in the world I’m right there. I want to see what opinions people have. I love Rachel Maddow (laughs). I love watching her show. ",
,MC," So, you’re not a conservative. ",
,EC," Oh, no. No. And it’s not being a conservative so much as having an open mind. You know, because I can be conservative on some things, you know? I like culture and I like tradition and there’s certain things that, you know, I think have their place. But, um, not necessarily, you know, real liberal or real conservative or whatever. I just like having an open mind. I’m not religious, um, I was raised Catholic, uh, but when I came to college I did not like what The Church was saying about women, and, so, I do not believe in religion because I don’t like the way they treat women. And, so, I don’t belong to any kind of religion. Um, I didn’t raise my kids with any religion. We do go to powwows. My husband is part Chickasaw and I am part Yaqui. So, I believe in Mother Earth and respecting Mother Earth and, uh, and to me that’s my religion, you know? And I think religion blinds people into not seeing, uh, the real world, you know, but that’s another one. ",
,"And I came to that consciousness when I came to college. So, you know, my philosophy is, you know, just keep an open mind and treat people with respect and how you want to be treated. Um, being involved in political movements, I’m not too involved in a whole lot of stuff, but I do— when I come across people and I see something that’s not right, I tell them. I don’t have a problem with it. Um, like I said before, I’m not a kiss ass. I’m gonna tell you what’s on my mind and if you don’t like it, “Adios! We’ll see you later.” (Laughs) So, and, I do sit on a couple of boards, you know, still promoting underrepresented students going to college. Um, but even my philosophy for that has changed quite a bit. Especially now with the way, um, the system is putting kids in debt. You know, most kids that are graduating from college are coming out with 30, 40, 50 thousand dollar loans. How much loan do you have? 40? ",,
,MC, She just started.,
,Student, I’m not completely sure. We haven’t filled it out. ,
,EC," You’re gonna be a freshman? Okay, so you’re just starting. ",
,MC," Yeah, she’s going to Iowa state. ",
,Linda, Iowa State is a very good value for the money. ,
,EC," Okay, well, my daughter when to Berkeley, okay, and, um, she had a little bit of debt but we got rid of it, most of it. My son went to Chico State, my next one. So that wasn’t so bad. My third son went to UC Santa Cruz and I’m still paying on that one, ‘cause I didn’t let them— you know, I wanted them to concentrate on their studies. And my youngest son who’s 24, went to UC Santa Barbara and that one was big. He got some loans, but, um, I mean, some scholarships, because he played soccer and he was a good student, uh, but, um, we ended up paying for quite a bit. But, so, anyway, with students nowadays going to college, they’re ending up with anywhere from 40,000 dollars to 120,000 dollar loans. The government just decided yesterday to lower the rate back to a lower rate, but the rate is gonna increase by the market. So if the market goes up, the rate is gonna go up. And what’s happening now is kids are going to college, whether— and I’m not talking about community college. I’m talking about universities and state colleges. They’re coming out with a debt that’s like a mortgage and they’re not getting the jobs. And, so, it’s putting a lot of pressure on the youth that they have to come out and they’re taking whatever job they can to be able to start paying those loans back. They have a loan before they even get started, and I can’t agree with that. I think that’s wrong. Even the low-income students, they’re not even qualifying for that much Cal Grant or Pell Grant because the income level that they have is like 30,000 dollars for a family of four. Come on! Give me a break! So I really think that we have to rethink the whole thing. And I don’t have a problem with kids going to college, but I do have a problem with the debt they’re being incurred before they even get started with their lives, and I don’t think that’s fair. And, so, even that part I’m re-thinking. I do want them to go to college because I think college provides you with an experience you’re not gonna gain anywhere else and going to work is not gonna do it and you do have to have a profession and a career and something to do, you know? Something that you love with a passion that you’re not doing just for the money. You can’t do that if you don’t have a college degree, ‘cause the college degree shows you what you love with a passion. And when you go to work right out of high school or when you go to work without completing a degree, you end up with a job that you probably hate. You know, so, I think college does that for kids more than anything else. Of course, it gives you a paper, you know, but it gives you that insight to know, what is it that I want to do that I really love and, you know, that I can pour myself into and enjoy and survive. So, you know, so that’s why I’m involved with this organization, Wahupa, on the board. I’m their vice-president right now. ",
,MC, And Wahupa does what? ,
,EC," It’s a program for the county— they’re all the way north-south. Uh, upward bound, and a program for adults that encourages adults to go back and get their GED and go to college, so, I’m still involved with that.",
,MC," Well, thank you very much. ",
,EC, You’re welcome.,
