timestamp,speaker,words,tags,
,"So, I came to San Diego because of Alurista. And it was in the middle of upheaval because the people that had been there before were now moving on. Some of them because they didn’t like the way that we— they—were being forced to go into a department the way they were. Without much dialogue, probably. And, so, um, I was interviewed by, his name was Roberto Cerros, that was hired to take over the hiring of Chicanos coming to San Diego State. And, coincidentally, Richard had been teaching at, uh, Cal— at the beach up north almost all the way to San Francisco— the beach there. The university there. Richard was—.",,,
,I, Santa Cruz?,,
,R," No. Uh, north. He was teaching— no. It wasn’t Santa Cruz. I’ll think of the name of it in a minute. Um, by Monterey. ",,
,I," Um, I think Monterey Bay started later. ",,
,R," Yeah, we’ll think of it. It’ll pop, click in. He was a professor there and he did not, as a Chicano professor, he did not receive tenure. And he took it to court. It was a lawsuit. So he had—Richard had to find another job. And, so, Richard applied to San Diego State. He was married. Um, um, I applied at the same time. I was hired as an English teacher, he was hired as a History teacher. As a History professor. And he already had his PhD. So. ",,
,"I was hired and I had to apply for the PhD program. So, I applied at UCSD and thank God I was accepted. So, I was at UCSD and I said this yesterday when you were taping"," I was a full-time mom, a full-time professor at San Diego State, and a full-time student at UCSD. And I think that’s just what they expected all Chicanas to do. “Hey. You’ve gotta take care of the kids, that’s your job. And you know what? You’ve got a full time job? Well you have to get your PhD. Or you’ve got your PhD? You’ve got to get a full time job.” You know? That we’re expected to do it all is ridiculous. Ugh.  ",,
,I," So, we were still— we were just talking about Stanford and I wanted to ask you about, uh, you know, you had been mentioning that there was the Women’s Movement and you took the Women’s Studies classes and there was the Chicano Movement and so I wanted to ask you about the intersections between the two and, um, your discovery of that particular— the contradictions of being Chicana in the Chicano Movement and the contradictions of being a Chicana woman in the Women’s Movement. ",,
,R, Yeah. ,,
,I, What was that experience like for you?,,
,R," Oh my gosh, it’s, it’s very compartmentalized. ‘Cause you said the interconnections and there weren’t any interconnections. I didn’t see any interconnections at all. So the Chicana Feminist Movement for me is with Chicanas. It wasn’t— I got knowledge and I learned something from my readings of literature of women, American women, but ne’er the twain shall meet at Stanford. So when I proposed to teach the course there for women, it was Chicanas and what it was is I knew that young Chicanas were coming in that had never been away from home. I knew they were needing to learn to write. That’s the most important thing. So everything for me was about helping these young Chicanas write and read and write so they could pass and grow on and undertake the great demands of education. And try to be committed to it. So, yes, everything about my involvement was a Chicana experience. Yeah. ",,
,"I— there were women that befriended me and I really am so grateful to those women because to me those were the courageous ones. They were the ones who stepped apart, like my friend Judy in high school, the Catholic Jewish girl I was telling you about. Then at college there were women that befriended me and they invited me to Massachusetts and, sadly, I didn’t go. ‘Cause I was very isolated in the sense of being not able to travel because I had two children. I wasn’t courageous in that way. That’s one way that I wasn’t courageous is through traveling. ",,,
,"But I did have women that invited me to go. And, uh, one couple that I liked at Stanford— it was in the literature department— invited me to come to Massachusetts, Cambridge. They said, “I asked Mary what she wanted for Christmas, or, what she wanted for her birthday and she wants you to come to Cambridge.” And I didn’t do any of that. So. I was pretty— once the Chicano experience started for me, my friends felt kind of abandoned, my anglo friends. They felt like, well, we’re part of the movement too. How come you haven’t called us? But, it was busy, busy, hard work. ",,,
,"Yeah. I remember Cristieta and I working into the night writing press releases and meeting the press and going to meetings. And this is like the fourth job. I mean, you have two or three other jobs. And it was hard, hard, hard work. And, uh, so what we did as a committee, we were the Assistant to the President for Chicano Affairs, and as you know, Cecilia Burciaga, who came later, that was her very title. We— one of our demands that we wanted to hire a woman called the Assistant to the President for Chicano Affairs and then our committee would diminish a little bit. And so that’s what we did ‘cause we used to meet all the time. So we interviewed all these women and Cecilia Burciaga was one of them. And then, uh, we met, we all went to San Francisco and I don’t remember if it was to meet Cecilia or to pick her up from the airport or whatever it was. I can’t remember what that was. ",,,
,"But while the women were there I found out that I had a lump in my breast and I… I had to go to the doctor. And it was on the very same day we were supposed to go to San Francisco for some reason. I think it was to meet Cecilia for some reason. Um, I can’t remember what it was. But my friend Teresa Guerrero stayed and went to the doctor with me while I had surgery ‘cause they didn’t know what was gonna happen and they took it out and showed it to me and it was the weirdest conglomeration of lumps you ever saw in your life and I think it’s— I’m not sure what it was but they took it out and they said it wasn’t— it was benign. It wasn’t cancerous. It wasn’t a malignant tumor. So, that was one of the experiences I had. ",,,
,"When they came home, they had had their picture taken and blown up to a big picture like that and I’m not in it (laughs). I said, “I should have changed my appointment day!” Because that picture became famous and I’m not in it. And when Judy, uh, Judith Baca was going to Stanford to paint a mural she said she was going to Photoshop me in and I don’t think it’s happened yet (laughs). But anyway, that’s the story of that. And so we, our committee, hired Cecilia Burciaga. So. That’s what we did. Yeah. ",,,
,I," And, uh, was Casa Zapata already there or did you—?",,
,R," No, no. Casa Zapata was not there. Everything was kind of happening at the same time. Kind of like, uh, contractions piling up on one another. And, so, my friend Teresa Guerrero told me about her brother, Sarco, and he was in the Tepoztlán and Teopztlán’s a pretty interesting arts community and so she told me all about his work and she told me that he was sculpting and that he has found a foundry in Tepoztlán that was actually, uh, doing the bronze. It’s hot bronze they put over the sculpting. Then it hardens and dries and that’s the sculpture piece. And, so, he was actually— I met him— and he was actually sculpting at my house. And you know, all this plaster and clay was all over the place and he did “Wounded Knee” on the side of my house. That’s one of his famous sculptures. ",,
,"And, uh, we were also doing programs. He was constantly innovative ‘cause we wanted to hire a resident artist, we called it. And the resident artist would be there to promote events and do the art and he would be paid and he would get a stipend and that sort of thing. That was Sarco. Yeah. ",,,
,"And, just to tell you a little bit about the mural, he painted a famous mural at— and I was part of the development of that mural— that went up in Stanford that became very controversial. And then he wanted me to be the indigenous woman. ‘Cause he had the indigenous woman. Luckily it wasn’t the old, old woman. The old, old woman was really, probably my age now. Very wrinkled and just an Indian woman who was really really old. And the middle woman was a blonde woman with beautiful hair but no face. And that was why it was controversial because people began to identify with that. “Well, I’m a blonde and how come they have me up there with no face?” And, so, the mural became very, very controversial. But he ch— he used somebody else to do the mural. And he said somebody talked him out of it. So, anyway, I just wanted everybody to know I was invited to be the indigenous woman and it never happened (laughing). So. ",,,
,I," And at that time you also produced this important, uh, collection of writing called Imágines de la Mujer and I don’t know if you can share with us a little bit about that process.",,
,R," Yeah. Okay. Once again it’s about Antonia. Antonia had already taught a course. She had taught the first Chicana course, I’m pretty sure. We’ll have to look that up. Somebody said, you know when I went to Stanford, they said, “It doesn’t matter who’s first.” And I said, “No, it doesn’t, but I think it’s important to know that certain women like Antonia were doing innovative things and it took a lot of courage. That’s what’s important.” And, uh, so that Sonia Lopez taught the first Chicano course at San Diego State is really important because who had the courage and innovative knowledge to do that at that particular time? It seems logical today but, no. You’re in the middle of it. You’re not. It’s a new idea.",,
,"So, Antonia had taught the course. A book had come out called Literatura Chicana and it’s just a collage of different things. It’s not literature Chicana. It’s called Literatura Chicana because I think the “a” rhymes with—jives with “literatura” is the only reason. But it’s lots of things in there. And she and Tomás Ybarra Frausto were the first ones to publish anything that looked like a book to us. We had never seen a book that was a Chicano/Chicana book. And that was so important to me. When she told me that her name was on that book and I saw her picture I was just amazed. I was like, “You’re on a book? That is so amazing!” And it was Professor Joseph Summers that had encouraged it and helped them and they got it published and everything. ",,,
,"Well, I decided that we needed to publish, you know? We should publish! And, so, that was my big thing was publish. And for a reason ‘cause none of us had seen any of our race, our culture, our people, our friends in publications. Or even a hispano name. Except a Spanish book in a Spanish class or something. And so, so I deci— oh! There, there was a fellowship. I was now becoming a graduate student and there was a fellowship called the Chicano Fellows Program. And there— it had been going on for four years and they chose four people each year and every year there were four guys. So, four years, four guys, that’s sixteen guys, right? And I thought, “Hey! What’s wrong with us? Are we chopped liver?” (Laughs).",,,
," And, so, I started thinking about it and then it was time to apply and I just applied. I applied for the fellowship. And I proposed teaching a Chicana course for women. I mean, a course for women so that we could learn more about ourselves in the middle of this movement. And, oh! That was a pretty good idea. And of course I was taking all these feminist literature courses in the literature and listening to people like Antonia and women really working hard on conferences that were going to go to Mexico City, that were going to Denver, that were going to other places, and I couldn’t go. I had two children. ",,,
,"So, so that’s, that’s kinda what happened. So, I proposed the course and then I had to go speak about it and, so, I got the fellowship for— so they used to call me the “Chicana Fella” (laughs). So I got that fellowship and started teaching the course. And then during the course I wanted to publish so I started collecting all the chicana writings. And there had been a— so now my next thing to do— oh! To propose the course I had to also propose the course to the English Department. I had to ask for this course because I couldn’t just ask the Fellowship Program for it. I had to ask the English Department if I could teach a course for women in the English Department. So, I first spoke to my professor about it. His name was Professor Chase, I remember. And he said, “Look, you know, you’re applying for this fellowship and the course is needed and they’re gonna like you. I don’t see any problem with it.” That’s Stanford. I always tell everybody. Oh my God, it was heaven in that way because they were always really wanting to support you. There was none of this, “Hmm. Let’s see, no.” ",,,
,"You know? I get that at San Diego State right now and I get really mad ‘cause I never used to get that at Stanford. They always wanted to be at the front of innovation at Stanford and that was the difference I think. So, I proposed it, they said, “Yes.” And I said, “Well, look. There’s incoming freshmen, too, and they could use a course. Their first language isn’t English and they could use a course, too.” So I ended up teaching English to the incoming transfer and freshman students, whoever wanted to take the course, and the course for Chicana students, uh, Chicana women. So, I just went to class and I thought, “Oh my God, what am I doing? How can I do this?” And so I just told them my idea that I wanted their— asked to see their works and writings. “I don’t even care if you can do it or if you’re professional. We’ll just do it and then we’ll just see our names in writing.” So that was the idea.",,,
,"And, so, we got a few research papers, um, different things that students did in the classes. And, um, my next thing was to propose it, right? To propose the journal. And I knew they were going to say “yes” to it. They had the money. They could afford it. And a student there, he’s from the Imperial Valley and I can’t remember his name, he had started a journal called… I can’t remember the name of it. It’ll come in in a minute. Not Iscali, ‘cause that’s just in my head. It’s Mexitli or something. ",,,
,I, Mexitli.,,
,R," He was a really neat guy. He had started a journal, they had published poems and different things in it. So, he kinda got the leg work and everything going’. The busy work for it to get it going. Women turned in their papers, they got together. I edited everything. I had to read every single thing and fix it to be publishable. And then I had written an essay because, now I’m trying to remember if this is true or not, um, I had written an essay because I had been invited— as an English teacher I was always getting invited to speak at different places. This comes later. This comes for this journal, I think. I think the story I’m telling comes for this journal. This journal is Imagines and let me see what— I can’t remember his name— what his name was. Where is my name in here? ",,
,"Anyway, I wrote the introductory essay and I was the editor of the journal but they didn’t, I don’t think they really called it that. I can’t remember what they called it. It was this journal that, um, I was invited to speak at a conference. Oh, um, after this was published we didn’t even realize what we were doing. We just thought, “We want to see our names. We should be published. Our work is important. We don’t want to just see our names but we want to see our work in print too so other people can read it.” And so that was my whole drive as a student at Stanford was to write and publish. If it wasn’t perfect, that was okay. We’re still gonna do it anyway. There’s a million books published and we want to see our names published as well. ",,,
,"And, so, I taught that course that— the Chicana course and then at the end of the year I went to, I met Alurista and I went to apply for the job at San Diego State and I got the job at San Diego State. And then I knew all of these women had been there before so I thought, “Well, what am I gonna do? I’m just here by myself. What am I gonna do?” And so I just decided to do what I’d already done at Stanford. I’d teach the course, um, I would— I invited a woman called Suni Paz, she was from Argentina, she was a revolutionary woman. And she wrote songs of struggle and revolution. And one of her albums was called “brotando del silencio” so, so that’s what I did. I was invited to give a talk at San Jose State University, uh, as a Chicana writer and I wasn’t even published or anything. But they had all these women from, uh, Latin America that were published poets. And I didn’t fit into that category. What was I gonna talk about?",,,
,"So the title of my talk was “brotando del silencio” it was chicana writer breaking out of silence. And so, Tillie Olsen, um, let me just tell this story. Maybe it doesn’t quite fit but I want to tell it because it’s really important to me. Tillie Olsen is a famous thirties writer. She’s a really famous writer of the thirties which is about class struggle in the United States and she was the keynote speaker. And she said, “You know what? I don’t believe in one person being a keynote speaker. I want to invite someone up here with me.” And she had heard my talk at lunch or something and she invited me to come up there with her. And I was just shocked because I thought, “Oh my God I’m nobody! I haven’t written anything I haven’t published anything. This is the Latin American Literature Conference and all of these people are published poets, authors, and writers from Latin America!” Like, uh… Graci— I was gonna throw out some names to you but, uh, I’ll think of ‘em in a minute. ",,,
,"So, I was embarrassed but I just got up there and said what I said in my talk and that’s all. And then I was walking— I’ve only told one person this story before but I’m gonna tell you guys on this tape— I was walking along at San Jose State and there were a group of women and one of the women— I was walking by, or not walking by, I was behind them and one of the women said, “Well what did they invite her for?” And I heard that and I just shriveled up. And there was nothing I could do about it. I just kept walking and I just— and then they had to see me, right? And they saw that I was the woman they were talking about. So I just kept walking and I just thought, “Oh my God I’m so embarrassed. How could Tillie Olsen have invited me up here to talk with her?” (Laughs) And now I’m hearing a couple of women say why did they invite her up there and, and they were Chicanas. And I just froze. So, um, I kept going with my theme and when it was time they told us they wanted to publish some of the writers that had been at the Latin American Writers’ Conference. And I said, “Okay.” So I just got it ready, put the title on there Brotando del silencio and changed it a little bit and gave it to them and that’s the essay that’s kind of followed me around for my whole life. Because people were thinking about that but somebody just said, “We need to be published! We need to write too! And writing’s important to us!” ",,,
,"In fact, when we write, uh, it’s important because somebody else is gonna read it and then somebody else is gonna get an idea and then somebody else is gonna pass it on to somebody else and it’s gonna be a chain reaction and pretty soon we’ll all be writing and everything’ll be published. So that was my essay, um, that I wrote. Brotando del silencio and that’s how I came about. So. ",,,
,I," Well, I wanna say very quickly that it’s true, though, because now we have this thing that we call Chicana Feminist Literature and Cultural Studies and there is a huge industry of work. ",,
,R, {Laughs),,
,I," We have, you know, University of Texas Press, uh, has this Chicana Matters series.",,
,R, Yeah that’s Antonia. ,,
,I," Yeah, so—.",,
,R," Well, you know, just, uh, if I can finish with this... ",,
,I, Yes.,,
,R," When I got to San Diego State and I w— and I said I want to keep doing what the Chicanas here were doing. They were fighting for their rights as well. And I said I wanna keep doing that. So I decided to do what we did at Stanford and to do the journal. And, so, when it came time to—oh, hmm. Yeah. When it came time to write the introduction, for the title of this book I chose the title of Antonia Acastañada’s first course as a tribute to Antonia Castañada and I told her about it ‘cause her first course was called “Visión de la mujer de la raza.” And I just loved that title ‘cause it had a ring to it and I said, “That’s what I’m gonna call the book. Visión de la mujer de la raza.” But it was long so we just ended up putting “Visión.”But I think in here, in the introduction, I told what that was about. ",,
,"And then I thought this up and I’ve used this at the Mesa College Mural, too. It says, “A vision is not a dream. It’s a reality that already exists but it’s only waiting to be realized.” So that was my big quote that I used and then we used in on a mural at Mesa College and then the essay that I wrote for this book was taken from the same one I’d written at Stanford. And I said, “Well, it’s the same essay and I’ve just changed it a little bit.” And then one of the women said, “Well, why don’t you call it what you talk about in your paper?” ‘Cause in the paper I called it “Writing is a Revolutionary Act.” ‘Cause I always felt like I had the little voice, you know? And if you’re an activist you’re supposed to have a loud voice. But a revolutionary can speak by writing as well. So I called it “Writing is a Revolutionary Act” and that’s how it came out to be. ",,,
,"And Gail Perez, my friend, she got teacher of the year this year at USD. She said, “Rita, everywhere I go, so many women quote your essay"," ‘Writing is a Revolutionary Act’ from Brotando del Silencio.” So, that was a gift. A big one. And another milagro. ",,
,R," So, you mentioned you wanted to say one thing about Dorinda that you, uh.",,
,I," You know, it kind of connects, I suppose. But, um, my daughters were with me. I had two young daughters as I said, Lisa— she’s Lisa LaRosa now and Teana Osquera ( Tape 12 0","49). They were with me, as a student. So, these young girls were becoming conscious as they traveled with me day-to-day on the campus and everywhere. And there were two things, I’m not sure if they were the first. I wanted to say something about Dorinda Moreno. I went to a— as a freshman at Stanford I went— I wasn’t a freshman. As a first year student at Stanford there I went to a program that they had at the Cubberley Auditorium and this woman gets up and she is this majorly outstanding, formidable-looking, tall, woman and she’s gonna tell us the three voices of Chicanas growing up. ",
,,,,
,"One of them was the grandmother and she gave this lulling sound of her grandmother and how she rocked her. ‘Ra-u. Ru, ru, ru’ and this voice just rippling through. And it just takes you into memory and you’re just not even in the room anymore. And then she also started talking about the voices of justice. And she, she got— she had something like a washboard or something where she ran this, uh, metal over the washboard to sound like bars of Salt of the Earth. Then it— “queremos justicia, queremos justice, queremos formula” for the baby. And she rings out her voice on that. And then she screams out this grito of the crying woman, la Llorona, uh, la mujer gritando. And it’s just going right straight through you and you’re identifying with it like nobody ever understood you before and now somebody does, you know? ‘Cause you’re that woman. ",,,
,"So, my daughters were introduced to all of this. They were introduced to Dorinda when she invited myself and my daughters to meet Sacheen Littlefeather because Sacheen Littlefeather was ridiculed at the Academy Awards for what she said in protesting against all the films that have done injustice against American Indians. Well, the Academy Awards just laughed at her when she did that. But we sat in a circle with her in San Francisco and my children were there. They were so moved by that. And they’re these little kids and you’re not even thinking about them. You’re just into the program. And Sacheen Littlefeather is teaching us a song of the Indian woman. I’m trying to think… a chant. She says, “Okay I’m gonna teach everybody a chant.” And it’s, “ Hi, hi, malaya, himalaya, himalay chin chai-o.” She goes around the room and she does it about five times and my children are there and, uh, I don’t know if I said that right but something like that and they were so affected. ",,,
,"When I came home, they had in their journals written out the whole poem that she had— I couldn’t remember it— but they had written out the whole poem. They had written their art. The youth are so valuable because they’re gonna carry on what they hear and take it and pass it on to the next generation when we’re no longer here. And, um, so, to answer your question, though, about the art, and moving to San Diego, um, we, we also, when we did the Visión Journal in San Diego, my children were also beside me. So when we did any kind of a march for Cesár Chavez and the farmworkers, they just happened to be there because I didn’t have a babysitter. They were just like an appendage (laughs). And, so, they were very affected by the movement. And, so, then when I got to San Diego State, I was a single mom, as I said. And the first thing that I walked into when I came to San Diego was a mural and when I saw it my heart stopped because murals were happening in San Francisco. And the art was everywhere and so important. Poetry and music and oh my gosh I heard so many artists and so many poets I can— um. One of them, a woman that I really admire, um, “Refugee Ship” is the title of her poem that I use in my class every semester because her poem is so meaningful to the students. Like we feel like a refugee ship, just without a doc. And if I don’t remember her name I’m gonna be really upset. I’m gonna remember in a minute. She was one of the Chicana poets that affected me in San Francisco. ",,,
,"So I really missed that when I came to San Diego and I, um, my student— my children were always with me and the first thing we saw when we came to San Diego was a mural. And, so, it was very touching. I thought, “I need to find these people.” And that was, uh, Mario Torero’s mural and it was, uh, I believe it was a woman with outstretched arms. And it was a community mural and all inside all their names were signed on there. And I thought, “I’ve gotta find these people.” And so I think that was my introduction to the arts. Although it didn’t start there with Mario it started— since I was a child the arts were really important to me. And that’s the one thing I did besides read was draw. ‘Cause that’s what I did, you know? When it’s quiet, there’s no TV, you just— my mother gave us a piece of paper and I remember it was butcher paper. She didn’t buy any typing paper. It was butcher paper. She saved all the butcher papers in a little stack and then gave it to us. And we drew pictures on the butcher paper. ",,,
,"So, it goes back a long way. But when I saw the art I was really moved because the image was so beautiful. And it was in, uh, of all places Grossmont Shopping Center and, uh, so I eventually met the artist. I met— because I had to go into the PhD program at UCSD I met Alurista because we were all in the PhD program. I was the only one in the English Department. Everybody else was in the Spanish Department but we all met so we could create community together and continue talking so we could get through. We’d meet about once a week and have dinner. And mostly it was at Alurista’s because he had small children so we met there. And, um, one day he, uh, Mario was there. So I met Mario. Well, that— I would have just gone home and nothing would have ever happened, but— this guy you know, he’s just right on top of it. You know, call and, “Oh,” you know, “who are you?” and that sort of thing, you know, calling right away. And so that’s how I met the artist and got involved with the arts. ",,,
,"His father, Mario Torero Acevedo’s father, was a beautiful artist that had come from Peru and that had been painting in Peru and he came to San Diego and he was an artist. And his son, now, is an artist. And they were doing activist things in the community. All these guys. And they’d come over to the house, make a lot of noise, and I didn’t really like that. ‘Cause to me, that was my refuge. My only refuge. And, so, he was mad ‘cause I was disrespectful to all these guys and, so, well, anyway. It started out rough. ",,,
,"And so, um, we eventually— to get right to the story— we eventually, we almost didn’t but we did get married. And I have two beautiful children, Lucía and Pablo. Pablo was born on Chicano Park Day! I don’t know! There’s more than one miracle in the world (laughing) he was born on April 22nd, 1980. And I was a student at UCSD. I went until the very last day and that was the last day I ever went back to UCSD. I had two babies. I had Lucía and Pablo now and, so, I finished all my coursework, I finished my language requirement, uh, and with the help of Antonio and Arturo, her husband, we— I was on a Ford Foundation Fellowship— so I was able to do it and then I had my baby right the day before my last day of class. And, uh, he was born the next day. Chicano Park Day. The summer. ",,,
,"And I went back to teaching as much as I could and then they said, “You have to finish your dissertation.” And I got half of it done but I didn’t do all of it. And it's uh, my dissertation is, uh, Chicano Literature. It’s in Chicano Literature and it’s called, uh, Utopianism in Chicano Literature. And utopianism is connected to class struggle and, and, a really popular trend in that period— Marxist literature. But it’s mostly about class struggle and people’s desire for a better world and for justice. And, so, that’s what I started writing my dissertation on. But my last day was that day. I was very involved in the arts because of Mario’s family and I give all credit to them for opening up an art gallery. ",,,
,"Once I— they gave me a terminal year at San Diego State. They said,  “You have to have your dissertation finished. Remember when you came here you had to have a PhD.” And, so, without much support, much mentoring, I was able to study but, um, without that mentoring I did not finish the PhD. And of course I had the pregnancies and the children and the full-time job. And they all wanted me there full-time. So, um, I took the terminal year and didn’t go back. I taught my last year at San Diego State, about three years after my son was born in 1980. Uh, Pablo. And, Lucia was my first born and she had her son yesterday. Little Logan Gonzales was born yesterday. ",,,
,"But, um, they were so much a part of the movement with me. All of them. Pablo’s an artist, a poet, uh, Lucía was very involved. She had Chunky at the school and introduced him to all of his students. The arts were just drenched in our lives. Every party we had for the kids was about art. It was either a huge parade in the streets as they recall it or— I worked for Young at Art, the time that I was off, now, not teaching now, I didn’t have a job. I am not teaching now. So I, um, applied for the arts, um, programs in San Diego. ",,,
,"Actually, Mario got the commissioner’s job. Artist commissioners. It’s an appointment. I applied for it too. I thought, “Well, he’s applying. I’m going to apply too!” And, well, he got it. He’s the artist so I’m glad he got it. And then they had a grant that was given to the arts community called The Muriel Gluck Foundation. And she wanted artists to teach in the schools. She did not want teachers trying to be artists. She said she was gonna pay for artists to come into the school and teach. And we were sort of an amazing group of people. And by nature, by employment I was not an artist. I wasn’t. But I had grown up being an artist, you know, writing on the butcher paper (laughs). And, uh, and my family knew I was that way. ",,,
,"And, so, I applied for the Young at Art arts program, teachers teaching art in the schools, and I got one of the positions. So we worked so amazingly. I made a mural. It was called the, um, Rainforest Mural that I painted with the students at Old Town Elementary School. And I made birds with them. Rainforest birds out of paper maché and then we grounded them into chunks of wood so they could stand up with, you know, coat hanger legs. And then we painted them. We made books, uh, we made fabrigé eggs. We, we just did some amazing things. And then I had an exhibit with Tia Matel, (5","08 Tape 13 check spelling) she’s the artist that was in the Young at Arts Program. She and I together— I proposed it to her, actually, asked her if she wanted to do it with me— we had our own exhibit of the work that we had done. Our work was shown in the San Diego Museum of Art. Not just mine and her’s but other artists’ as well. ",,
,"Um, Mario was working with the guys in the park and that was what they did. All the guys would go and they’d hang out together. And from me he learned there’s other ways and other things to do. And he tried to implement the women into his art and artwork. So, he painted a Frida Kahlo— he proposed doing a Frida Kahlo in the art. So the Chicano Art has Frida Kahlo. He painted the Virgen of Guadalupe in the park and he asked me to be the model. And I was expecting my daughter Lucia that had the baby yesterday. And so, I was pretty drenched in the arts and very committed to the arts. And I tried to buy art from artists. And when I saw that his employment as an artist was very precarious, I proposed that we get a spot for him to show his art. So, we found one in a district of town that’s not downtown and its, its called Mission Hills. And its where people come to sort of buy art. So we had it there. ",,,
,"Uh, KPBS wanted to hear about it, so we did a presentation on KPBS. The arts was just— filled our lives. Every moment, every day. It was very rich. And, you know, with all the faults and struggles we had in our marriage, uh, he’s a lover of life. He loves life, he loves art. The two go together. Our children were affected. They still are. And so, that’s— I eventually said, I, “I have a lot of trouble with you just scrambling in the streets to make a living when you’re such a dedicated artist. Why don’t we open up an art gallery?”",,,
,"So, um, as I said, giving full credit to his father and himself, we opened up the Acevedo— we said, “What should we call it? Well, let’s just call it the Acevedo Gallery.” ‘Cause they had a gallery before and that’s what it was called. So we called it the Acevedo gallery. We were there for 8 years. And I was the one in charge of finances and the direction and everything about a business. Reading about how to grow a business. And, uh, in that way it was extremely successful. We made money off the gallery to live. Only— it’s not easy it takes persistence. You never leave, you never give up, you never stop doing your work, you find out why something isn’t working. If it’s a business you have to see about it. Community was invited in. I made sure my friends were introduced to the arts. Uh, Maria Garcia and Rosalia Selinez, they thank me forever that I made them buy some Zúñiga art. I said, “You have to buy it! I know it’s expensive but if you don’t buy it it’s gonna be worth $20,000 and you wont have it! And you could get it right now for $2,000!” (Laughs) And they just thank me forever ‘cause it came true of course. And they have beautiful art in their homes. They love art.",,,
,"And, um, we had a lot of artists. We had artists from Oaxaca, other parts of Mexico, we’ve had Chicano artists, I made sure we had women artists. I flew in art from New York from women artists. Um, I found out who the Chicana artists were, I invited them in from San Francisco. It was an amazing period of life for me. And I’m very thankful that I was able to be a part of that world. I’ve met all the artists. I’ve met every single Chicano artist that are now famous. The biggest one I think of is Carlos Almaraz, Judith Hernandez, Barbara Carrasco. Uh, you know, I feel really blessed to have met all of these artists. Carlos Almaraz showed at our exhibit that we had here. Mario opened a little gallery that we had before we opened Acevedo Gallery that stayed for a little while. It was called SolArt and, uh, he, um, yes. So there was a lot of art activity. ",,,
,"And Judith Hernandez showed in that exhibit. Um, my friend Isabel Alerdilla(10","09 Tape 13) bought art from the gallery. Some women could afford it and others couldn’t. As I say, they’re forever grateful for it. And I saw Dionne paying a lot of money for an art piece the other night and I told her, “This is one thing in your life you’ll never forget"," buying a work of art.” So I really feel blessed by Guillermo Acevedo and Lydia Acevedo, Mario’s parents, and Mario. And, uh, um, so, and thankful that I could be so involved in the arts. I’ve been in so many parades, I’ve made so much art with children. I made a huge sun, sol, that we carried in a parade. Just— it’s a very blessed— uh, sadly, that was my second marriage, you know. And we were married for twelve years, and, uh, we broke up in, uh, see! I forgot the year! So no wonder I’m divorced (laughs)! ",
,"I forgot the year. But, uh, yeah so I was on my own for five years. I decided I wasn’t ever gonna go out there again with anybody and start any kind of a relationship. And it was a really, really hard time again for me. I had two more children and I couldn’t believe that this was happening to me for a second time in my life and, uh, I kept working and I thank Irma Castro ‘cause she started an organization— women are always there when you’re miserable and you need somebody! Nobody else is but women are. ",,,
,"And Irma Castro started a program called Niñas de Aztlán and she said, “You know what? We’re waiting too long. We’re waiting until kids are in college to try to train them to be Chicanas. We need to start sooner.” So she started an organization called Niñas de Aztlán. And I put some pictures over there on the table of the event. I became a mentor for Niñas de Aztlán. And that’s how I came out of depression and sadness of a family break-up. And, uh, I just kept going. And there were more women that entered in the picture that became part of my life and, uh, for five years I really worked hard on the program I was in. ",,,
,"I had been teaching Chicana Studies since 19— uh, two— 1973. So this year’s the 40th anniversary. So that’s how long I’ve been teaching the Chicana course. So I think it’s the longest running Chicana course that’s ever happened (laughing). And so they’re saying, you know, “When is she gonna leave?” (Laughs) You know, Mesa College. ‘Cause they had probably wanted some new person to come and take over but, anyway, I retired last year and I, uh, started doing more and more genealogy and writing and publishing my genealogy work. The First Chicano Mestizos. That was one of ‘em. And, uh, I got involved with Reality Changers. It’s a program kind of like Linda and Carlos LeGerrette’s Chavista’s Club except it doesn’t have that theme of core values that they use or César Chávez but it does have core values as a theme. So, I’ve been involved in that. ",,,
,"And, so, I was also invited by Paul Espinoza to be on the board of the Chunky Sanchez, uh, it’s called Rising Souls. Uh, a film that he’s trying to produce. He’s been working on this for a while. So I’m grateful to be on the advisory committee. And, uh, we’ve met and it’s good and they had a huge production! Almost like the ones you have here of the Los Lobos in my house when they came to town. Chunky and— was with Los Lobos about three or four months ago and they set up in here to interview, uh, interview the Los Lobos about Chunky. They had to move all the furniture out and cover up the windows with black and it was like a stage in here! But they’re beautiful people. They’re always thinking and working and trying to produce something good. Uh, Martha Sanchez and Paul Espinoza. So, uh, life is very, very good. I was with my newborn grandson last night. Logan Gonzales. And Lucía and Eric are amazing too. And I’m just thankful to everybody.",,,
